layers,neurons,activation,optimizer,loss,val_loss
1,8,relu,adam,mse,0.010689908638596535
1,8,relu,adam,mae,0.13234414160251617
1,8,relu,sgd,mse,0.027807746082544327
1,8,relu,sgd,mae,0.06360987573862076
1,8,relu,rmsprop,mse,0.5838091373443604
1,8,relu,rmsprop,mae,0.13834865391254425
1,8,tanh,adam,mse,0.013850453309714794
1,8,tanh,adam,mae,0.09210754930973053
1,8,tanh,sgd,mse,0.009285354055464268
1,8,tanh,sgd,mae,0.06265827268362045
1,8,tanh,rmsprop,mse,0.009447939693927765
1,8,tanh,rmsprop,mae,0.09259460866451263
1,8,sigmoid,adam,mse,0.15578901767730713
1,8,sigmoid,adam,mae,0.2790953516960144
1,8,sigmoid,sgd,mse,0.2974366843700409
1,8,sigmoid,sgd,mae,0.436463862657547
1,8,sigmoid,rmsprop,mse,0.06374256312847137
1,8,sigmoid,rmsprop,mae,0.1958899199962616
1,8,linear,adam,mse,0.5826432108879089
1,8,linear,adam,mae,0.5577977895736694
1,8,linear,sgd,mse,0.5884193181991577
1,8,linear,sgd,mae,0.5609279274940491
1,8,linear,rmsprop,mse,0.5853549242019653
1,8,linear,rmsprop,mae,0.5543095469474792
1,16,relu,adam,mse,0.009239221923053265
1,16,relu,adam,mae,0.04158035293221474
1,16,relu,sgd,mse,0.014566924422979355
1,16,relu,sgd,mae,0.06368788331747055
1,16,relu,rmsprop,mse,0.012853366322815418
1,16,relu,rmsprop,mae,0.0656721293926239
1,16,tanh,adam,mse,0.01619427092373371
1,16,tanh,adam,mae,0.09601496905088425
1,16,tanh,sgd,mse,0.011255024001002312
1,16,tanh,sgd,mae,0.09806206822395325
1,16,tanh,rmsprop,mse,0.009252798743546009
1,16,tanh,rmsprop,mae,0.08501964062452316
1,16,sigmoid,adam,mse,0.11139938235282898
1,16,sigmoid,adam,mae,0.15707652270793915
1,16,sigmoid,sgd,mse,0.2425556778907776
1,16,sigmoid,sgd,mae,0.4703080952167511
1,16,sigmoid,rmsprop,mse,0.049305643886327744
1,16,sigmoid,rmsprop,mae,0.16755050420761108
1,16,linear,adam,mse,0.5848235487937927
1,16,linear,adam,mae,0.5595352649688721
1,16,linear,sgd,mse,0.5833372473716736
1,16,linear,sgd,mae,0.5557733178138733
1,16,linear,rmsprop,mse,0.5825119018554688
1,16,linear,rmsprop,mae,0.5584240555763245
1,32,relu,adam,mse,0.004888514056801796
1,32,relu,adam,mae,0.03073708899319172
1,32,relu,sgd,mse,0.0167609341442585
1,32,relu,sgd,mae,0.07542694360017776
1,32,relu,rmsprop,mse,0.02577943354845047
1,32,relu,rmsprop,mae,0.054870668798685074
1,32,tanh,adam,mse,0.015837615355849266
1,32,tanh,adam,mae,0.0803663432598114
1,32,tanh,sgd,mse,0.017001666128635406
1,32,tanh,sgd,mae,0.10577357560396194
1,32,tanh,rmsprop,mse,0.010590498335659504
1,32,tanh,rmsprop,mae,0.07987093925476074
1,32,sigmoid,adam,mse,0.09132038801908493
1,32,sigmoid,adam,mae,0.15674307942390442
1,32,sigmoid,sgd,mse,0.5203132033348083
1,32,sigmoid,sgd,mae,0.5133655071258545
1,32,sigmoid,rmsprop,mse,0.05446646735072136
1,32,sigmoid,rmsprop,mae,0.18156716227531433
1,32,linear,adam,mse,0.5841237306594849
1,32,linear,adam,mae,0.5552420020103455
1,32,linear,sgd,mse,0.5827094912528992
1,32,linear,sgd,mae,0.556206464767456
1,32,linear,rmsprop,mse,0.583246111869812
1,32,linear,rmsprop,mae,0.5543266534805298
2,8,relu,adam,mse,0.005368437618017197
2,8,relu,adam,mae,0.04378075525164604
2,8,relu,sgd,mse,0.002996673109009862
2,8,relu,sgd,mae,0.04068995639681816
2,8,relu,rmsprop,mse,0.004089354537427425
2,8,relu,rmsprop,mae,0.07000542432069778
2,8,tanh,adam,mse,0.0024821648839861155
2,8,tanh,adam,mae,0.03105100244283676
2,8,tanh,sgd,mse,0.0067769670858979225
2,8,tanh,sgd,mae,0.03632507100701332
2,8,tanh,rmsprop,mse,0.0019277847604826093
2,8,tanh,rmsprop,mae,0.05929174646735191
2,8,sigmoid,adam,mse,0.10148189216852188
2,8,sigmoid,adam,mae,0.2784680724143982
2,8,sigmoid,sgd,mse,0.30855852365493774
2,8,sigmoid,sgd,mae,0.4033205211162567
2,8,sigmoid,rmsprop,mse,0.005639519542455673
2,8,sigmoid,rmsprop,mae,0.2740863859653473
2,8,linear,adam,mse,0.5858229398727417
2,8,linear,adam,mae,0.5606708526611328
2,8,linear,sgd,mse,0.5878774523735046
2,8,linear,sgd,mae,0.5616432428359985
2,8,linear,rmsprop,mse,0.5850752592086792
2,8,linear,rmsprop,mae,0.5586109757423401
2,16,relu,adam,mse,0.0020250556990504265
2,16,relu,adam,mae,0.03820742666721344
2,16,relu,sgd,mse,0.00555415078997612
2,16,relu,sgd,mae,0.03584198281168938
2,16,relu,rmsprop,mse,0.012239614501595497
2,16,relu,rmsprop,mae,0.10590928792953491
2,16,tanh,adam,mse,0.0037566155660897493
2,16,tanh,adam,mae,0.04374462738633156
2,16,tanh,sgd,mse,0.0038052890449762344
2,16,tanh,sgd,mae,0.03353038802742958
2,16,tanh,rmsprop,mse,0.003087853780016303
2,16,tanh,rmsprop,mae,0.03372154384851456
2,16,sigmoid,adam,mse,0.25779008865356445
2,16,sigmoid,adam,mae,0.045639339834451675
2,16,sigmoid,sgd,mse,0.31987667083740234
2,16,sigmoid,sgd,mae,0.4463494122028351
2,16,sigmoid,rmsprop,mse,0.0053186845034360886
2,16,sigmoid,rmsprop,mae,0.27551034092903137
2,16,linear,adam,mse,0.5883265137672424
2,16,linear,adam,mae,0.5604198575019836
2,16,linear,sgd,mse,0.5893071889877319
2,16,linear,sgd,mae,0.5590387582778931
2,16,linear,rmsprop,mse,0.5828284025192261
2,16,linear,rmsprop,mae,0.5589555501937866
2,32,relu,adam,mse,0.0024902892764657736
2,32,relu,adam,mae,0.057354602962732315
2,32,relu,sgd,mse,0.0019009732641279697
2,32,relu,sgd,mae,0.08210507780313492
2,32,relu,rmsprop,mse,0.011269086971879005
2,32,relu,rmsprop,mae,0.053749095648527145
2,32,tanh,adam,mse,0.001270547742024064
2,32,tanh,adam,mae,0.06862484663724899
2,32,tanh,sgd,mse,0.005583701655268669
2,32,tanh,sgd,mae,0.04651018604636192
2,32,tanh,rmsprop,mse,0.008035797625780106
2,32,tanh,rmsprop,mae,0.09405422955751419
2,32,sigmoid,adam,mse,0.0021590881515294313
2,32,sigmoid,adam,mae,0.032545316964387894
2,32,sigmoid,sgd,mse,0.3753302991390228
2,32,sigmoid,sgd,mae,0.4844587445259094
2,32,sigmoid,rmsprop,mse,0.0024629393592476845
2,32,sigmoid,rmsprop,mae,0.06983787566423416
2,32,linear,adam,mse,0.5834944248199463
2,32,linear,adam,mae,0.5612072944641113
2,32,linear,sgd,mse,0.5900400876998901
2,32,linear,sgd,mae,0.5567306280136108
2,32,linear,rmsprop,mse,0.6080082654953003
2,32,linear,rmsprop,mae,0.5587875843048096
3,8,relu,adam,mse,0.002239271765574813
3,8,relu,adam,mae,0.029597926884889603
3,8,relu,sgd,mse,0.0012014018138870597
3,8,relu,sgd,mae,0.14868144690990448
3,8,relu,rmsprop,mse,0.0032150933984667063
3,8,relu,rmsprop,mae,0.042901329696178436
3,8,tanh,adam,mse,0.003371995175257325
3,8,tanh,adam,mae,0.03940052166581154
3,8,tanh,sgd,mse,0.0022032943088561296
3,8,tanh,sgd,mae,0.07352574914693832
3,8,tanh,rmsprop,mse,0.00499573303386569
3,8,tanh,rmsprop,mae,0.03452793508768082
3,8,sigmoid,adam,mse,0.2530200481414795
3,8,sigmoid,adam,mae,0.27886098623275757
3,8,sigmoid,sgd,mse,0.3124568462371826
3,8,sigmoid,sgd,mae,0.8249883055686951
3,8,sigmoid,rmsprop,mse,0.25246769189834595
3,8,sigmoid,rmsprop,mae,0.27790936827659607
3,8,linear,adam,mse,0.5870432257652283
3,8,linear,adam,mae,0.5652578473091125
3,8,linear,sgd,mse,0.5846062302589417
3,8,linear,sgd,mae,0.5606339573860168
3,8,linear,rmsprop,mse,0.6540084481239319
3,8,linear,rmsprop,mae,0.560374915599823
3,16,relu,adam,mse,0.0012077108258381486
3,16,relu,adam,mae,0.03265491873025894
3,16,relu,sgd,mse,0.027787933126091957
3,16,relu,sgd,mae,0.12350144237279892
3,16,relu,rmsprop,mse,0.0024433140642941
3,16,relu,rmsprop,mae,0.09511816501617432
3,16,tanh,adam,mse,0.0021065042819827795
3,16,tanh,adam,mae,0.045369453728199005
3,16,tanh,sgd,mse,0.0035568380262702703
3,16,tanh,sgd,mae,0.0708601102232933
3,16,tanh,rmsprop,mse,0.01052290853112936
3,16,tanh,rmsprop,mae,0.07082639634609222
3,16,sigmoid,adam,mse,0.002171160886064172
3,16,sigmoid,adam,mae,0.27479663491249084
3,16,sigmoid,sgd,mse,0.3396223783493042
3,16,sigmoid,sgd,mae,0.6538053750991821
3,16,sigmoid,rmsprop,mse,0.002698037540540099
3,16,sigmoid,rmsprop,mae,0.27430224418640137
3,16,linear,adam,mse,0.5840681791305542
3,16,linear,adam,mae,0.5601175427436829
3,16,linear,sgd,mse,0.5896579623222351
3,16,linear,sgd,mae,0.5588289499282837
3,16,linear,rmsprop,mse,0.5891596674919128
3,16,linear,rmsprop,mae,0.559410572052002
3,32,relu,adam,mse,0.0018687917618080974
3,32,relu,adam,mae,0.05874178931117058
3,32,relu,sgd,mse,0.001519541721791029
3,32,relu,sgd,mae,0.04745323956012726
3,32,relu,rmsprop,mse,0.007631182204931974
3,32,relu,rmsprop,mae,0.1538439840078354
3,32,tanh,adam,mse,0.0038432276342064142
3,32,tanh,adam,mae,0.05355514958500862
3,32,tanh,sgd,mse,0.005666021257638931
3,32,tanh,sgd,mae,0.0425507128238678
3,32,tanh,rmsprop,mse,0.003688677679747343
3,32,tanh,rmsprop,mae,0.11239710450172424
3,32,sigmoid,adam,mse,0.003961237147450447
3,32,sigmoid,adam,mae,0.038064293563365936
3,32,sigmoid,sgd,mse,0.3862691819667816
3,32,sigmoid,sgd,mae,0.5059798955917358
3,32,sigmoid,rmsprop,mse,0.0033144610933959484
3,32,sigmoid,rmsprop,mae,0.06202191114425659
3,32,linear,adam,mse,0.5839579701423645
3,32,linear,adam,mae,0.5694743990898132
3,32,linear,sgd,mse,0.5864923596382141
3,32,linear,sgd,mae,0.5774989128112793
3,32,linear,rmsprop,mse,0.6148684024810791
3,32,linear,rmsprop,mae,0.5641369223594666
